content_id,category,view_date,views
101,Action,2024-07-15,60000
101,Action,2024-08-05,50000
101,Action,2024-09-10,300000
101,Action,2024-09-20,250000
102,Drama,2024-08-12,40000
102,Drama,2024-09-15,35000
102,Drama,2024-09-25,45000
102,Drama,2024-07-20,15000
103,Comedy,2024-08-18,25000
103,Comedy,2024-08-28,30000
103,Comedy,2024-09-05,20000
103,Comedy,2024-07-22,15000
104,Thriller,2024-08-31,120000
104,Thriller,2024-09-12,150000
104,Thriller,2024-07-10,50000
105,Documentary,2024-08-22,20000
105,Documentary,2024-09-25,30000
105,Documentary,2024-07-30,10000
