transaction_id,customer_id,service_tier_code,transaction_date
1,101,PREM_BASIC,2024-04-05
2,102,PREM_PLUS,2024-04-10
3,103,BASIC,2024-04-15
4,101,PREM_BASIC,2024-04-20
5,104,PREM_ULTIMATE,2024-04-25
6,105,STANDARD,2024-05-02
7,106,BASIC,2024-05-05
8,107,PREM_PLUS,2024-05-08
9,105,STANDARD,2024-05-12
10,108,PREM_BASIC,2024-05-15
11,109,STANDARD,2024-05-20
12,105,PREM_BASIC,2024-06-03
13,111,PREM_BASIC,2024-06-05
14,112,STANDARD,2024-06-07
15,113,PREM_PLUS,2024-06-10
16,111,STANDARD,2024-06-13
17,114,PREM_PLUS,2024-06-16
18,115,PREM_ULTIMATE,2024-06-20
19,116,STANDARD,2024-06-23
20,117,PREM_BASIC,2024-06-28
