subscription_id,customer_id,tier_name,start_date,end_date
1,101,Basic,2024-01-15,2024-07-10
2,102,Premium,2024-03-01,2024-08-05
3,103,Enterprise,2024-02-20,2024-07-20
4,104,Plus,2024-04-10,2024-09-15
5,105,Standard,2024-05-15,
6,106,Basic,2024-06-01,2024-08-10
7,107,Premium,2024-07-01,
8,108,Enterprise,2024-09-01,2024-09-10
9,109,Basic,2024-06-15,2024-07-25
10,110,Premium,2024-03-15,2024-08-20
11,111,Premium,2024-04-12,2024-07-15
12,112,Ultimate,2024-05-10,2024-07-22
13,113,Basic,2024-06-20,2024-08-15
