campaign_id,ad_format,impressions,clicks,cost,revenue,campaign_date
101,video,500,50,100,150,2024-07-10
101,display,300,30,60,90,2024-07-20
102,search,400,40,80,120,2024-07-15
103,video,600,55,120,200,2024-07-18
104,shopping,200,20,40,70,2024-07-22
105,search,350,35,70,110,2024-07-05
106,display,450,45,90,130,2024-07-11
101,video,1200,80,200,300,2024-08-03
102,search,800,60,150,180,2024-08-04
103,display,1100,70,180,250,2024-08-09
104,video,950,65,170,210,2024-08-12
105,shopping,1300,85,220,330,2024-08-15
106,search,1050,75,190,260,2024-08-22
107,video,500,45,100,140,2024-08-27
108,display,1150,78,210,310,2024-08-05
109,search,700,50,120,200,2024-09-10
110,display,600,45,90,150,2024-09-15
101,shopping,800,60,160,240,2024-09-20
102,video,900,80,180,280,2024-09-21
103,search,650,55,130,190,2024-09-22
