app_id,category_id,revenue_date,revenue_amount
101,1,2024-04-05,100
101,1,2024-04-12,150
101,1,2024-05-10,130
101,1,2024-06-05,120
102,2,2024-04-07,80
102,2,2024-05-14,90
102,2,2024-06-12,85
103,3,2024-04-15,200
103,3,2024-05-19,220
104,4,2024-04-10,50
104,4,2024-04-25,70
104,4,2024-05-23,60
104,4,2024-06-15,80
105,5,2024-04-02,90
105,5,2024-05-04,100
105,5,2024-06-28,95
106,6,2024-04-18,110
106,6,2024-05-11,115
106,6,2024-06-22,120
107,7,2024-04-22,140
107,7,2024-05-15,130
107,7,2024-06-17,150
108,8,2024-04-28,60
108,8,2024-05-21,55
109,9,2024-04-13,75
109,9,2024-05-27,65
109,9,2024-06-10,80
110,10,2024-04-08,95
110,10,2024-05-30,105
110,10,2024-06-25,115
