content_id,title,genre,release_date
1,The Great Adventure,Action,2023-11-15
2,Love & Laughs,Comedy,2022-07-22
3,Mystery of the Lost City,Thriller,2024-01-10
4,Nature's Wonders,Documentary,2021-05-05
5,Space Odyssey,Sci-Fi,2023-03-30
6,Dawn's Early Light,Drama,2024-02-14
7,The Culinary Journey,Reality,2022-10-18
8,Haunted Manor,Horror,2023-08-09
9,Robot Uprising,Action,2024-01-25
10,Stand-Up Nights,Comedy,2022-12-12
11,Deep Sea Secrets,Documentary,2023-06-20
12,The Last Frontier,Sci-Fi,2024-03-05
13,Urban Legends,Horror,2022-09-30
14,Comedy Central,Comedy,2023-02-28
15,Historical Battles,Documentary,2021-11-11
