order_id,customer_id,product_id,reorder_flag,order_date
1001,1,1,1,2024-10-05
1002,2,2,0,2024-10-12
1003,3,3,1,2024-10-20
1004,4,4,0,2024-11-01
1005,5,5,1,2024-11-15
1006,6,6,1,2024-11-20
1007,7,7,0,2024-12-05
1008,8,8,1,2024-12-10
1009,9,9,0,2024-12-15
1010,10,10,1,2024-12-20
1011,1,1,1,2024-10-25
1012,2,3,1,2024-11-05
1013,3,2,0,2024-11-18
1014,4,4,1,2024-12-02
1015,5,5,0,2024-12-08
1016,6,6,1,2024-12-12
1017,7,7,1,2024-10-30
1018,8,2,0,2024-11-22
1019,9,9,1,2024-11-28
1020,10,10,0,2024-12-25
