user_id,usage_date,hours_spent
101,2024-07-31,2.3
102,2024-07-31,3
103,2024-07-31,1.5
101,2024-07-30,1
104,2024-07-29,4
105,2024-07-31,2
101,2024-08-01,3.4
102,2024-08-01,2.6
103,2024-08-02,5
104,2024-08-03,1
102,2024-08-05,4.5
105,2024-08-05,3.5
106,2024-08-07,2
107,2024-08-07,6
101,2024-09-01,3
102,2024-09-01,2
103,2024-09-02,1.5
104,2024-09-02,3.5
105,2024-09-03,4
106,2024-09-03,2
107,2024-09-03,1
108,2024-09-04,7
109,2024-09-04,2
101,2024-09-04,1
110,2024-09-05,5
111,2024-09-05,4
112,2024-09-05,3
