transaction_id,merchant_category,transaction_status,transaction_date
1,Retail,SUCCESS,2024-01-05
2,Retail,FAILED,2024-01-10
3,Retail,SUCCESS,2024-01-20
4,Dining,SUCCESS,2024-01-15
5,Dining,FAILED,2024-01-18
6,Entertainment,SUCCESS,2024-01-25
7,Entertainment,SUCCESS,2024-01-30
8,Groceries,FAILED,2024-01-12
9,Groceries,FAILED,2024-01-27
10,Utilities,SUCCESS,2024-01-09
11,Retail,SUCCESS,2024-02-03
12,Dining,SUCCESS,2024-02-08
13,Entertainment,FAILED,2024-02-14
14,Groceries,SUCCESS,2024-02-10
15,Utilities,FAILED,2024-02-05
16,Retail,FAILED,2024-03-12
17,Dining,FAILED,2024-03-20
18,Entertainment,SUCCESS,2024-03-03
19,Groceries,SUCCESS,2024-03-29
20,Utilities,SUCCESS,2024-03-15
21,Travel,SUCCESS,2024-01-11
22,Travel,SUCCESS,2024-01-19
23,Travel,SUCCESS,2024-02-04
24,Travel,SUCCESS,2024-02-11
25,Travel,SUCCESS,2024-03-22
