file_id,file_name,organization_id,shared_date,co_editing_user_id
1,AlphaCorp-report,1,2024-01-05,1001
2,Summary,2,2024-01-12,
3,GammaLLC_DataAnalysis,3,2024-01-20,
4,DeltaInc_Notes,4,2024-01-25,2002
5,MeetingMinutes,5,2024-01-30,
6,AlphaCorp-Summary,1,2024-02-03,3001
7,BetaTech-Overview,2,2024-02-10,
8,DataSet,3,2024-02-15,3003
9,ZetaPartners-Quarterly,6,2024-02-20,
10,KappaGlobal-Plan,10,2024-02-25,3005
11,Proposal,7,2024-03-05,
12,ThetaSystems_Design,8,2024-03-10,4001
13,IotaServices-Update,9,2024-03-15,
14,DeltaIncStrategies,4,2024-03-20,
15,EpsilonLtd-Finance,5,2024-03-25,4003
16,EtaSolutions-Guide,7,2024-02-28,
17,EtaSolutions-Edit,7,2024-01-21,
18,AlphaCorp-Review,1,2024-03-02,
