booking_id,company_id,employee_id,booking_cost,booking_date,travel_date
1,1,101,500,2024-01-05,2024-02-05
2,2,201,750.5,2024-01-15,2024-01-20
3,1,102,450,2024-01-20,2024-02-15
4,3,301,1200,2024-01-22,2024-03-01
5,4,401,650.75,2024-01-10,2024-01-25
6,5,501,900,2024-02-05,2024-03-10
7,2,202,850,2024-02-08,2024-03-05
8,6,601,1100,2024-02-15,2024-03-20
9,7,701,780.25,2024-02-20,2024-03-25
10,8,801,660,2024-02-22,2024-03-15
11,3,302,950,2024-03-05,2024-03-12
12,1,103,530,2024-03-10,2024-03-15
13,9,901,1250,2024-03-15,2024-03-22
14,4,402,700,2024-03-20,2024-04-01
15,2,203,800,2024-03-25,2024-04-10
