payout_id,seller_id,payout_status,payout_date
1,1,successful,2024-07-05
2,1,failed,2024-07-18
3,5,successful,2024-07-10
4,5,successful,2024-07-21
5,5,successful,2024-07-29
6,8,failed,2024-07-15
7,2,successful,2024-07-06
8,2,successful,2024-06-28
9,2,failed,2024-07-25
10,4,successful,2024-07-08
11,4,successful,2024-07-22
12,7,failed,2024-07-12
13,10,successful,2024-07-14
14,10,failed,2024-07-24
15,3,successful,2024-07-09
16,3,successful,2024-07-23
17,6,successful,2024-07-11
18,6,successful,2024-07-27
19,9,successful,2024-07-13
20,9,failed,2024-07-26
