route_id,delivery_partner_id,pickup_count,delivery_time,earnings,route_date
101,1001,1,15.5,8.25,2024-10-05
102,1002,2,20,10,2024-10-10
103,1003,3,25,12.5,2024-10-15
104,1001,2,18,9,2024-10-20
105,1002,1,16,8,2024-10-25
106,1003,4,30,15,2024-11-05
107,1001,3,28,14,2024-11-10
108,1002,2,22,10,2024-11-15
109,1003,1,17,8.5,2024-11-20
110,1001,3,27.5,13,2024-12-05
111,1002,2,20.5,10.5,2024-12-10
112,1003,1,16.5,7.5,2024-12-15
113,1001,4,32,11,2024-12-20
114,1002,2,21,11,2024-12-25
115,1003,3,26,12,2024-12-30
